Speaker,Filename,id,trial_number,tune,seg_Start,seg_End,Label,t,t_ms,f0,F0_semitones,H1H2c,CPP,H1A3c,keep_pulse,pulse_id,pulse_transform,f0_transformed,file_checked,tags,notes
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,4,0.47,122.956,-0.0208983877232391,3.362,15.52,-18.104,TRUE,1,1,122.956,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,5,0.48,122.402,-0.0990784587294458,6.429,17.711,5.31,TRUE,2,1,122.402,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,6,0.49,121.764,-0.189552139511264,9.899,9.816,5.07,TRUE,3,1,121.764,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,7,0.5,120.355,-0.391051097648359,9.62,13.217,16.549,TRUE,4,1,120.355,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,8,0.51,118.319,-0.686422862144055,8.548,16.659,7.323,TRUE,5,1,118.319,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,9,0.52,116.896,-0.895897267063214,8.604,13.183,9.923,TRUE,6,1,116.896,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,10,0.53,116.118,-1.01150449197394,9.853,8.79,10.636,TRUE,7,1,116.118,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,11,0.54,115.261,-1.13975073426751,7.971,12.218,17.321,TRUE,8,1,115.261,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,12,0.55,112.628,-1.53981761781749,4.876,17.551,12.983,TRUE,9,1,112.628,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,13,0.56,111.407,-1.72852542716391,3.158,21.394,18.229,TRUE,10,1,111.407,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,14,0.57,109.843,-1.97328883093942,2.395,20.314,14.232,TRUE,11,1,109.843,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,15,0.58,107.833,-2.29301901202456,-1.814,19.702,6.297,TRUE,12,1,107.833,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,16,0.59,106.782,-2.46258232596566,-8.034,19.311,-3.551,TRUE,13,1,106.782,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,17,0.6,106.969,-2.43229092618101,-5.999,8.523,3.367,TRUE,14,1,106.969,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,18,0.61,106.59,-2.49373890013054,0.079,13.102,9.063,TRUE,15,1,106.59,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,19,0.62,105.645,-2.64791017143315,3.155,15.351,8.026,TRUE,16,1,105.645,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,20,0.63,104.419,-2.84999306463249,3.545,9.823,7.808,TRUE,17,1,104.419,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,21,0.64,103.458,-3.01006154486934,3.399,13.168,8.235,TRUE,18,1,103.458,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,22,0.65,102.554,-3.1619988713925,1.614,12.138,8.618,TRUE,19,1,102.554,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,23,0.66,101.077,-3.41314702999538,0.525,13.713,7.203,TRUE,20,1,101.077,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,24,0.67,99.713,-3.64836188809761,1.05,12.878,7.848,TRUE,21,1,99.713,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,25,0.68,99.689,-3.6525293104282,1.98,9.734,11.497,TRUE,22,1,99.689,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.43,0.69,only,26,0.69,100.174,-3.56850673877197,3.644,15.823,8.999,TRUE,23,1,100.174,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,1,0.7,100.333,-3.54104971517675,4.33,9.696,9.353,TRUE,24,1,100.333,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,2,0.71,100.625,-3.49073863543864,5.861,12.68,9.07,TRUE,25,1,100.625,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,3,0.72,100.103,-3.5807815004903,5.913,12.192,8.955,TRUE,26,1,100.103,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,4,0.73,99.041,-3.76543059757108,9.56,12.701,8.503,TRUE,27,1,99.041,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,5,0.74,114.655,-1.23101278329658,16.877,14.392,29.455,TRUE,28,1,114.655,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,6,0.75,107.52,-2.34334351541396,11.2,9.843,28.436,TRUE,29,1,107.52,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,7,0.76,105.475,-2.67579098347853,17.309,10.888,32.135,TRUE,30,1,105.475,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,8,0.77,105.999,-2.58999618144129,16.606,12.261,40.073,TRUE,31,1,105.999,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,9,0.78,106.625,-2.48805513564291,14.921,12.123,37.686,TRUE,32,1,106.625,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,10,0.79,110.202,-1.91679915155098,10.547,10.506,30.116,TRUE,33,1,110.202,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,11,0.8,111.708,-1.68181393175506,7.411,14.241,29.41,TRUE,34,1,111.708,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,12,0.81,108.934,-2.11715229066442,4.772,11.629,9.296,TRUE,35,1,108.934,TRUE,"",""
demoSpeaker,102_35_rfr,102,35,rfr,0.69,1.26,harmony,13,0.82,106.463,-2.51437852973194,2.888,9.576,-4.915,TRUE,36,1,106.463,TRUE,"",""
