file	label	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
1.wav	b	0.621	0	1798.185	2299.12	3370.494	0	0	0	-42.67060159300069	-37.532091191982005	-21.713610493925966	0	0	0	0	0	0	0	0	34.393798259313975	48.975280235673246	101.54988338797526	0	0	42.67060159300069	37.532091191982005	21.713610493925966	0	0	0	0	0	0	0	0	0	0	0	0
 1.wav	b	0.626	0	1798.185	2299.12	3370.494	0	0	0	-42.67060159300069	-37.532091191982005	-21.713610493925966	0	0	0	0	0	0	0	0	34.393798259313975	48.975280235673246	101.54988338797526	0	0	42.67060159300069	37.532091191982005	21.713610493925966	0	0	0	0	0	0	0	0	0	0	0	0
 1.wav	b	0.631	0	1798.185	2299.12	3370.494	0	0	0	-42.67060159300069	-37.532091191982005	-21.713610493925966	0	0	0	0	0	0	0	0	34.393798259313975	48.975280235673246	101.54988338797526	0	0	42.67060159300069	37.532091191982005	21.713610493925966	0	0	0	0	0	0	0	0	0	0	0	0
 1.wav	b	0.636	0	1798.185	2299.12	3370.494	0	0	0	-42.67060159300069	-37.532091191982005	-21.713610493925966	0	0	0	0	0	0	0	0	34.393798259313975	48.975280235673246	101.54988338797526	0	0	42.67060159300069	37.532091191982005	21.713610493925966	0	0	0	0	0	0	0	0	0	0	0	0
 1.wav	b	0.641	0	1798.185	2299.12	3370.494	0	0	0	-42.67060159300069	-37.532091191982005	-21.713610493925966	0	0	0	0	0	0	0	0	34.393798259313975	48.975280235673246	101.54988338797526	0	0	42.67060159300069	37.532091191982005	21.713610493925966	0	0	0	0	0	0	0	0	0	0	0	0
 1.wav	b	0.646	148.6289730346542	1798.185	2299.12	3370.494	59.76422821323962	42.48809071054404	25.84169458221423	-2.5028980619308143	2.958567037125764	13.405791300211206	35.66844998008585	26.68876434292551	59.86071871698054	42.877455314863404	27.45719784474689	35.66844998008585	36.0009469072181	30.637128387127326	57.629775141327215	82.06230571527557	170.15558738681005	17.276137502695576	16.646396128329812	62.26712627517043	56.80566117611386	46.35843691302841	8.979685637160344	16.98326340211714	15.420257470116514	24.19226873689469	23.859771809762442	29.223590329853216	13.183	5.9203432769730835	3.5194192543664298	2.0057867050485045	1.5876590157332293	28.520379496074817
 1.wav	b	0.651	146.30367357281173	1675.861	2476.236	3578.542	65.72920784431783	50.686801706803564	31.498981262622717	0.2233926662233472	7.807959591501778	15.324328376360405	33.54034798889111	25.878846545998833	65.82658243455411	51.08003819534362	33.13627085458116	35.558460393976134	35.02075567506762	29.647093289935693	53.35114189330861	93.13687146201359	189.63430148885126	15.042406137514263	19.187820444180847	65.50581517809448	57.92124825281605	50.40487946795742	7.661501442892273	14.746544239210493	17.943767340762456	30.26812204057798	30.805826759486493	36.179489144618415	10.826	9.117759601669341	8.16400811266162	8.452932653209366	8.03125918384061	30.41258729980339
 1.wav	b	0.656	144.66977135137438	1389.02	2524.214	3598.639	68.77440628676085	56.15311656309943	36.12060678218616	5.397056424132007	14.352385320714589	19.008320959256224	31.779043248743474	29.724673089903483	68.89822576893081	56.65530429368986	38.2529132817649	38.020177267451494	35.68915402460581	29.683289717540376	46.86955321126958	96.0885537340792	190.80964061339776	12.62128972366142	20.032509780913273	63.37734986262885	54.42202096604626	49.766085327504626	2.0543701588399905	12.242921475240955	18.402391011924962	30.87804850147932	33.209071744325	39.21493605139044	12.497	6.646901420170135	6.554947697143136	6.445749330650489	6.387153485557028	32.07629695550547
 1.wav	b	0.661	143.80398399269984	1338.008	2529.297	3700.658	70.01290608989882	62.774014257280584	39.158472539636925	8.368246740472195	19.067185596758645	24.859820926731388	36.064910070160934	29.688951779962643	70.14243360511028	63.299882040698975	41.40187474375808	40.538684337876525	39.44406177969351	33.187084184172306	46.02939030235198	96.22201339294061	200.71704463249614	7.238891832618236	23.61554171764366	61.644659349426625	50.94572049314017	45.15308516316743	6.375958290198291	6.842551564411309	21.898007296940897	29.60374926723376	30.69837182541677	36.95534942093798	16.529	5.382270197872452	5.339334111458741	5.297019531101517	5.276557272943686	33.46040560109049
 1.wav	b	0.666	143.66009718341311	1277.557	2617.527	3727.185	71.00593198798292	67.78374274399785	40.72643833017795	20.707597250643655	22.646416231523332	26.343662890760903	37.02664881027516	25.148515013243053	71.1431402689608	68.34172166686513	43.125675284165304	52.12851049668943	40.888750721492066	34.47515071105076	45.27354740572751	102.62627594323882	203.36560736733537	3.2221892439850706	27.0573044138199	50.29833473733926	48.35951575645959	44.662269097222016	11.87813379703211	2.80141860209568	25.216046382699822	19.014629772271377	30.25438954746874	36.66798955791005	16.785	7.33961095291459	7.293210677484879	7.258791683559669	7.210241755476563	34.672294074079495
