Filename	t_ms	H1c	H2c	H4c	A1c	A2c	A3c	H2Kc	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H42Kc	H2KH5Kc	CPP	Energy	HNR05	HNR15	HNR25	HNR35	SHR	H1u	H2u	H4u	A1u	A2u	A3u	H2Ku	H5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	H42Ku	H2KH5Ku	strF0	sF0	pF0	shrF0	oF0	sF1	sF2	sF3	sF4	pF1	pF2	pF3	pF4	oF1	oF2	oF3	oF4	sB1	sB2	sB3	sB4	pB1	pB2	pB3	pB4	oB1	oB2	oB3	oB4	epoch	soe	
1.mat	647.000	-40.046	-44.313	-47.978	-64.210	-61.641	-54.513	-48.445	4.266	3.665	24.163	21.594	14.467	0.467	13.546	13.682	0.000	57.086	60.945	61.559	63.033	0.000	-37.885	-46.140	-53.249	-43.152	-49.999	-50.254	-50.963	-61.991	8.254	7.109	5.267	12.113	12.368	-2.286	13.079	149.590	150.236	0	144.985	0	178.533	1508.598	2269.215	3345.697	0	0	0	0	0	0	0	0	45.140	591.655	487.302	753.694	0	0	0	0	0	0	0	0	0.000	0	
1.mat	648.000	-38.869	-43.105	-46.309	-61.290	-59.994	-52.425	-46.151	4.236	3.204	22.420	21.124	13.556	-0.158	15.481	13.598	0.000	56.222	60.779	61.499	63.013	0.000	-36.419	-45.225	-52.646	-41.491	-49.886	-50.012	-51.075	-61.632	8.806	7.420	5.072	13.466	13.593	-1.571	12.988	151.710	146.021	0	168.608	0	178.402	1485.665	2274.909	3409.269	0	0	0	0	0	0	0	0	42.392	629.679	514.705	746.664	0	0	0	0	0	0	0	0	0.000	0	
1.mat	649.000	-37.836	-42.262	-44.918	-58.443	-58.488	-50.525	-44.121	4.426	2.656	20.607	20.652	12.689	-0.797	17.211	13.602	0.000	55.266	60.543	61.354	62.906	0.000	-35.091	-44.690	-52.331	-39.908	-49.920	-49.963	-51.327	-61.332	9.598	7.641	4.817	14.829	14.871	-1.003	12.857	153.898	146.692	0	168.608	0	178.816	1446.043	2276.841	3460.412	0	0	0	0	0	0	0	0	41.356	644.877	545.029	733.645	0	0	0	0	0	0	0	0	0.000	0	
1.mat	650.000	-36.868	-41.223	-43.219	-55.535	-56.874	-48.473	-42.005	4.355	1.995	18.668	20.006	11.605	-1.214	18.984	13.574	0.000	54.282	60.276	61.204	62.791	0.000	-33.825	-43.971	-51.715	-38.267	-49.848	-49.773	-51.401	-60.989	10.146	7.743	4.442	16.023	15.948	-0.314	12.689	155.728	147.111	0	168.608	0	178.955	1405.240	2290.082	3503.092	0	0	0	0	0	0	0	0	41.340	646.790	591.575	675.536	0	0	0	0	0	0	0	0	1.000	0.006	
1.mat	651.000	-35.867	-40.009	-41.555	-52.462	-55.207	-46.535	-39.852	4.142	1.546	16.595	19.340	10.668	-1.703	20.701	13.688	0.000	53.321	60.031	61.093	62.709	0.000	-32.523	-43.081	-51.137	-36.459	-49.722	-49.734	-51.420	-60.554	10.558	8.056	3.936	17.199	17.211	0.283	12.484	157.160	147.344	0	168.608	0	180.100	1381.298	2339.972	3515.444	0	0	0	0	0	0	0	0	43.452	641.053	652.316	628.162	0	0	0	0	0	0	0	0	0.000	0	
1.mat	652.000	-34.795	-38.743	-40.430	-49.412	-53.547	-44.444	-37.715	3.948	1.687	14.617	18.752	9.649	-2.715	22.494	13.859	0.000	52.340	59.703	60.925	62.618	0.000	-31.148	-42.147	-51.102	-34.673	-49.589	-49.621	-51.532	-60.209	10.998	8.955	3.525	18.440	18.472	0.430	12.234	157.843	146.807	0	168.608	0	179.370	1336.601	2407.820	3536.891	0	0	0	0	0	0	0	0	50.348	687.808	790.337	571.047	0	0	0	0	0	0	0	0	0.000	0	
1.mat	653.000	-33.832	-37.136	-39.886	-46.392	-52.115	-42.308	-35.476	3.305	2.750	12.560	18.283	8.476	-4.411	24.806	13.935	0.000	51.356	59.353	60.739	62.460	0.000	-29.881	-40.838	-51.620	-32.889	-49.633	-49.552	-51.615	-60.282	10.957	10.783	3.008	19.752	19.671	-0.006	11.976	158.058	145.030	0	168.608	0	184.841	1285.324	2520.384	3558.655	0	0	0	0	0	0	0	0	49.523	624.950	732.829	525.535	0	0	0	0	0	0	0	0	0.000	0	
1.mat	654.000	-32.976	-35.776	-38.852	-43.428	-50.738	-40.230	-33.241	2.800	3.076	10.453	17.762	7.254	-5.611	27.323	13.905	0.000	50.506	59.098	60.654	62.415	0.000	-28.721	-39.783	-51.655	-31.155	-49.710	-49.604	-51.742	-60.564	11.063	11.872	2.434	20.989	20.883	0.087	11.716	157.787	145.000	0	172.904	0	183.241	1252.290	2581.437	3571.543	0	0	0	0	0	0	0	0	52.497	610.628	607.859	483.591	0	0	0	0	0	0	0	0	0.000	0	
1.mat	655.000	-32.109	-34.325	-37.190	-40.585	-49.037	-37.903	-30.923	2.216	2.864	8.475	16.928	5.794	-6.267	29.354	13.799	0.000	49.442	58.652	60.427	62.235	0.000	-27.554	-38.616	-51.046	-29.519	-49.421	-49.428	-51.785	-60.277	11.062	12.430	1.965	21.868	21.874	0.739	11.434	156.733	144.485	0	168.608	0	185.658	1218.853	2600.793	3580.564	0	0	0	0	0	0	0	0	55.687	598.735	512.372	436.646	0	0	0	0	0	0	0	0	0.000	0	
1.mat	656.000	-31.236	-32.980	-35.316	-37.891	-47.454	-35.567	-28.491	1.743	2.337	6.655	16.218	4.330	-6.825	31.908	13.804	0.000	48.786	58.447	60.387	62.234	0.000	-26.386	-37.525	-50.207	-28.009	-49.205	-49.256	-51.743	-60.399	11.139	12.682	1.623	22.819	22.871	1.536	11.165	155.303	144.834	0	156.351	0	188.150	1180.070	2620.230	3590.377	0	0	0	0	0	0	0	0	59.266	583.168	431.642	400.248	0	0	0	0	0	0	0	0	0.000	0	
