file	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
1.wav	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.32969750000001	103.32969750000001	103.32969750000001	0	0	0	0	0	0	0	0	0	0	0	0	-0.33151177354970207	-2.0020940995775955	-3.515394475155842	-4.586019093625176	0
 1.wav	0.027	0	964.766	1805.244	2703.854	0	0	0	-34.328035342814786	-26.49717601281464	-13.952852697925671	0	0	0	0	0	0	0	0	26.029382376161315	34.54391815216002	66.076133602419	0	0	34.328035342814786	26.49717601281464	13.952852697925671	0	0	0	0	0	0	0	-3.6469897448105066	-3.701297440041307	-5.962864146336255	-5.478643330483516	0
 1.wav	0.032	--undefined--	1182.248	1977.56	2660.562	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	-3.1088543027235387	-3.4413388734697814	-4.572564092865586	-5.805927195526701	0
 1.wav	0.037	--undefined--	1146.152	1862.903	2484.158	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	-1.758352049877806	-3.58476439845032	-4.180622203837338	-4.962195807045339	0
 1.wav	0.042	--undefined--	1117.279	1799.946	2752.109	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	-1.3698286184657207	-2.5330616215587316	-5.254764817410596	-4.978958398971828	0
 1.wav	0.047	--undefined--	1160.053	1875.723	2714.829	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	-2.7257692354032463	-4.2273387386593	-5.420713209308806	-7.188129878496719	0
 1.wav	0.052	--undefined--	1124.263	2184.331	2967.598	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	-2.4760742127815076	-3.8397725721927882	-4.587859161475066	-5.40739020341242	0
 1.wav	0.057	--undefined--	1079.352	2164.636	3461.511	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	-0.5009383525022544	-3.2509543216791914	-5.12286960719295	-5.076963195751475	0
 1.wav	0.062	--undefined--	1252.6	1706.861	2630.338	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.644	-0.7807614151210238	-1.587584474276823	-3.9229942432242475	-4.334422408552476	0
 1.wav	0.067	--undefined--	1122.192	1452.454	2616.833	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.923	0.35362058311328093	-2.041946732261596	-5.130336507473432	-5.4280313144687655	-2.584950670362689
