file	t	f0	intensity
1.wav	0.027	0	0
 1.wav	0.032	--undefined--	0
 1.wav	0.037	--undefined--	0
 1.wav	0.042	--undefined--	0
 1.wav	0.047	--undefined--	0
 1.wav	0.052	--undefined--	0
 1.wav	0.057	--undefined--	0
 1.wav	0.062	--undefined--	0
 1.wav	0.067	--undefined--	-2.584950670362689
 1.wav	0.072	--undefined--	-2.6648367916451665
 1.wav	0.077	--undefined--	-2.754877455018361
 1.wav	0.082	--undefined--	-2.814565642174653
 1.wav	0.087	--undefined--	-2.7470802084561634
 1.wav	0.092	--undefined--	-2.353416729298152
 1.wav	0.097	--undefined--	-1.3664732597056952
 1.wav	0.102	--undefined--	0.31424398576691714
 1.wav	0.107	--undefined--	2.402131754027449
 1.wav	0.112	--undefined--	4.540516501858606
 1.wav	0.117	--undefined--	6.4635813793572
 1.wav	0.122	--undefined--	8.082171553662686
 1.wav	0.127	--undefined--	9.353784460191687
 1.wav	0.132	--undefined--	10.303085096216805
 1.wav	0.137	--undefined--	10.95636992600082
 1.wav	0.142	--undefined--	11.367633475781233
 1.wav	0.147	--undefined--	11.588958097432343
 1.wav	0.152	--undefined--	11.68052868319938
 1.wav	0.157	--undefined--	11.692535006903073
 1.wav	0.162	--undefined--	11.661843351686924
 1.wav	0.167	--undefined--	11.60783787453135
 1.wav	0.172	--undefined--	11.53533902555955
 1.wav	0.177	--undefined--	11.442088611463516
 1.wav	0.182	--undefined--	11.326651374563482
 1.wav	0.187	--undefined--	11.19338671988456
 1.wav	0.192	--undefined--	11.051470459849126
 1.wav	0.197	--undefined--	10.918687961135852
 1.wav	0.202	--undefined--	10.810065413492886
 1.wav	0.207	--undefined--	10.74129764887748
 1.wav	0.212	--undefined--	10.71464541070423
 1.wav	0.217	--undefined--	10.723047116185342
 1.wav	0.222	--undefined--	10.751165071421783
 1.wav	0.227	--undefined--	10.780708070027167
 1.wav	0.232	--undefined--	10.79605370903889
 1.wav	0.237	--undefined--	10.78643259310184
 1.wav	0.242	--undefined--	10.747732337357919
 1.wav	0.247	--undefined--	10.683163030589586
 1.wav	0.252	--undefined--	10.601910217355135
 1.wav	0.257	--undefined--	10.520457753871213
 1.wav	0.262	--undefined--	10.457799215711505
 1.wav	0.267	--undefined--	10.432012212020638
 1.wav	0.272	--undefined--	10.451656679616281
 1.wav	0.277	--undefined--	10.510900491581488
 1.wav	0.282	--undefined--	10.590688235914982
 1.wav	0.287	--undefined--	10.664178577155193
 1.wav	0.292	--undefined--	10.7092006533229
 1.wav	0.297	--undefined--	10.714207697701212
 1.wav	0.302	--undefined--	10.682486999630365
 1.wav	0.307	--undefined--	10.629535500056146
 1.wav	0.312	--undefined--	10.575438964868875
 1.wav	0.317	--undefined--	10.539038022539124
 1.wav	0.322	--undefined--	10.529465719863326
 1.wav	0.327	--undefined--	10.546843404035274
 1.wav	0.332	--undefined--	10.584346947003358
 1.wav	0.337	--undefined--	10.634258574274352
 1.wav	0.342	--undefined--	10.691397111615476
 1.wav	0.347	--undefined--	10.752583581384146
 1.wav	0.352	--undefined--	10.81583759373604
 1.wav	0.357	--undefined--	10.875031646165752
 1.wav	0.362	--undefined--	10.921235402185523
 1.wav	0.367	--undefined--	10.944100676721735
 1.wav	0.372	--undefined--	10.938686550534554
 1.wav	0.377	--undefined--	10.907960618331554
